"cc_iso3c","ref_year","variable","value"
"TZA",2020,"db_taxes_time",207
"UGA",2020,"db_taxes_time",195
"UKR",2020,"db_taxes_time",327.5
"URY",2020,"db_taxes_time",163
"USA",2020,"db_taxes_time",175
"UZB",2020,"db_taxes_time",181
"VCT",2020,"db_taxes_time",108
"VNM",2020,"db_taxes_time",384
"VUT",2020,"db_taxes_time",120
"PSE",2020,"db_taxes_time",174
"WSM",2020,"db_taxes_time",224
"YEM",2020,"db_taxes_time",248
"ZAF",2020,"db_taxes_time",210
"COD",2020,"db_taxes_time",346
"ZMB",2020,"db_taxes_time",158
"ZWE",2020,"db_taxes_time",242
