"ref_area","source","indicator","sex","time","obs_value","obs_status","note_indicator","note_source"
"ARM","BA:867","EAR_HUBL_SEX_NB","SEX_F","2017",523.73,,"T30:111","R1:3513_T3:240"
"ARM","BA:867","EAR_HUBL_SEX_NB","SEX_T","2016",609.32,,"T30:111","R1:3513_T3:240"
"ARM","BA:867","EAR_HUBL_SEX_NB","SEX_M","2016",665.74,,"T30:111","R1:3513_T3:240"
"ARM","BA:867","EAR_HUBL_SEX_NB","SEX_F","2016",568.46,,"T30:111","R1:3513_T3:240"
"ARM","BA:867","EAR_HUBL_SEX_NB","SEX_T","2015",576.6,,"T30:111","R1:3513_T3:240"
"ARM","BA:867","EAR_HUBL_SEX_NB","SEX_M","2015",649.85,,"T30:111","R1:3513_T3:240"
"ARM","BA:867","EAR_HUBL_SEX_NB","SEX_F","2015",521.51,,"T30:111","R1:3513_T3:240"
"BGD","BA:673","EAR_HUBL_SEX_NB","SEX_T","2017",107.34,,"T30:114","R1:3513"
"BGD","BA:673","EAR_HUBL_SEX_NB","SEX_M","2017",110.53,,"T30:114","R1:3513"
"BGD","BA:673","EAR_HUBL_SEX_NB","SEX_F","2017",98.69,,"T30:114","R1:3513"
"BIH","BA:493","EAR_HUBL_SEX_NB","SEX_T","2023",10.3,"B","I11:264_T30:164","R1:3513"
"BIH","BA:493","EAR_HUBL_SEX_NB","SEX_M","2023",10.48,"B","I11:264_T30:164","R1:3513"
"BIH","BA:493","EAR_HUBL_SEX_NB","SEX_F","2023",10.05,"B","I11:264_T30:164","R1:3513"
"BIH","BA:493","EAR_HUBL_SEX_NB","SEX_T","2022",9.23,"B","I11:264_T30:164","R1:3513"
"BIH","BA:493","EAR_HUBL_SEX_NB","SEX_M","2022",9.27,"B","I11:264_T30:164","R1:3513"
"BIH","BA:493","EAR_HUBL_SEX_NB","SEX_F","2022",9.16,"B","I11:264_T30:164","R1:3513"
"BIH","BA:493","EAR_HUBL_SEX_NB","SEX_T","2021",8.83,"B","I11:264_T30:164","R1:3513"
"BIH","BA:493","EAR_HUBL_SEX_NB","SEX_M","2021",8.84,"B","I11:264_T30:164","R1:3513"
"BIH","BA:493","EAR_HUBL_SEX_NB","SEX_F","2021",8.83,"B","I11:264_T30:164","R1:3513"
"BIH","BA:493","EAR_HUBL_SEX_NB","SEX_T","2020",9.36,"B","I11:264_T30:164","R1:3513_S14:4077"
"BIH","BA:493","EAR_HUBL_SEX_NB","SEX_M","2020",9.27,"B","I11:264_T30:164","R1:3513_S14:4077"
"BIH","BA:493","EAR_HUBL_SEX_NB","SEX_F","2020",9.48,"B","I11:264_T30:164","R1:3513_S14:4077"
"BIH","BA:493","EAR_HUBL_SEX_NB","SEX_T","2016",4.84,,"T30:164","R1:3513"
