"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_indicator","note_source"
"ARG","BA:150","EAR_4HPS_SEX_CUR_NB","SEX_F","CUR_TYPE_LCU","2022",754.79,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_4HPS_SEX_CUR_NB","SEX_F","CUR_TYPE_USD","2022",5.78,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_4HPS_SEX_CUR_NB","SEX_T","CUR_TYPE_LCU","2021",481.44,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_4HPS_SEX_CUR_NB","SEX_T","CUR_TYPE_PPP","2021",11.33,"P","T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_4HPS_SEX_CUR_NB","SEX_T","CUR_TYPE_USD","2021",5.07,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_4HPS_SEX_CUR_NB","SEX_M","CUR_TYPE_LCU","2021",494.75,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_4HPS_SEX_CUR_NB","SEX_M","CUR_TYPE_PPP","2021",11.65,"P","T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_4HPS_SEX_CUR_NB","SEX_M","CUR_TYPE_USD","2021",5.21,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_4HPS_SEX_CUR_NB","SEX_F","CUR_TYPE_LCU","2021",470.73,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_4HPS_SEX_CUR_NB","SEX_F","CUR_TYPE_PPP","2021",11.08,"P","T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_4HPS_SEX_CUR_NB","SEX_F","CUR_TYPE_USD","2021",4.96,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_4HPS_SEX_CUR_NB","SEX_T","CUR_TYPE_LCU","2020",390.69,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_4HPS_SEX_CUR_NB","SEX_T","CUR_TYPE_PPP","2020",13.04,"P","T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_4HPS_SEX_CUR_NB","SEX_T","CUR_TYPE_USD","2020",5.54,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_4HPS_SEX_CUR_NB","SEX_M","CUR_TYPE_LCU","2020",392.27,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_4HPS_SEX_CUR_NB","SEX_M","CUR_TYPE_PPP","2020",13.09,"P","T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_4HPS_SEX_CUR_NB","SEX_M","CUR_TYPE_USD","2020",5.56,,"T30:61","R1:3513_S4:33"
